"","vote","age","occupation_oesch","occupation_oesch_5","own_rent","sub_class","election","prov","quebec","degree","income_tertile","male","weight","ideology","cps25_employment","education","vote2","sub_class2","obj_class2","concordance","occupation_oesch_5_2"
"1","Liberal",63,NA,NA,"Own",NA,"2025",6,0,0,1,0,0.658066034317017,NA,4,4,"Liberal",NA,NA,NA,NA
"2","Conservative",75,NA,NA,"Own","Lower Class","2025",6,0,1,1,1,0.601073384284973,0.6,4,5,"Conservative","Working Class",NA,NA,NA
"3","Liberal",23,NA,NA,"Rent","Upper-Middle Class","2025",6,0,1,1,0,0.794874489307404,0.4,6,5,"Liberal","Upper Class",NA,NA,NA
"4",NA,66,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",8,0,1,1,0,0.398601293563843,0.5,4,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"5","Liberal",62,"Skilled clerks","Skilled workers","Rent","Middle Class","2025",6,0,0,NA,0,0.94628643989563,NA,1,3,"Liberal","Middle Class","Middle Class","Concordant",NA
"6",NA,39,NA,NA,"Rent","Middle Class","2025",5,1,1,2,1,0.713114678859711,0.2,1,5,NA,"Middle Class",NA,NA,NA
"7","Conservative",50,"Self-employed","Self-employed","Own","Working Class","2025",4,0,0,NA,1,0.92382675409317,1,3,3,"Conservative","Working Class","Middle Class","Deflator","Self-employed"
"8",NA,66,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",6,0,1,2,1,0.601073384284973,0.6,12,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"9","Liberal",18,NA,NA,NA,"Working Class","2025",6,0,0,2,0,2.09702253341675,0.1,5,2,"Liberal","Working Class",NA,NA,NA
"10","Conservative",78,NA,NA,"Own","Middle Class","2025",6,0,1,2,1,0.601073384284973,0.6,4,5,"Conservative","Middle Class",NA,NA,NA
"11",NA,26,NA,NA,"Rent","Working Class","2025",6,0,1,1,0,0.794874489307404,NA,1,5,NA,"Working Class",NA,NA,NA
"12",NA,48,NA,NA,"Rent","Working Class","2025",10,0,0,1,1,1.02599215507507,0.7,1,3,NA,"Working Class",NA,NA,NA
"13",NA,46,"Self-employed","Self-employed","Own","Working Class","2025",6,0,0,1,0,1.04512190818787,NA,3,3,NA,"Working Class","Middle Class","Deflator","Self-employed"
"14","Other",56,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Working Class","2025",10,0,1,1,NA,0.212035089731216,0.1,8,5,NA,"Working Class","Middle Class","Deflator","Lower-grade service"
"15",NA,49,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",9,0,1,2,1,0.868920385837555,0.6,1,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"16",NA,22,NA,NA,"Rent",NA,"2025",9,0,0,1,1,0.950308740139008,0.8,1,4,NA,NA,NA,NA,NA
"17","Conservative",36,NA,NA,"Rent","Lower Class","2025",8,0,0,1,1,1.39211821556091,NA,8,2,"Conservative","Working Class",NA,NA,NA
"18","Liberal",58,"Self-employed","Self-employed","Own","Middle Class","2025",10,0,0,2,0,1.62883794307709,NA,3,2,"Liberal","Middle Class","Working Class","Inflator","Self-employed"
"19","Liberal",58,NA,NA,"Own",NA,"2025",6,0,1,NA,0,0.658066034317017,0.5,12,5,"Liberal",NA,NA,NA,NA
"20","Liberal",44,"Skilled manual","Skilled workers","Own","Middle Class","2025",6,0,0,2,0,1.04512190818787,0,1,3,"Liberal","Middle Class","Working Class","Inflator",NA
"21",NA,67,NA,NA,"Own","Middle Class","2025",5,1,0,1,0,1.42112100124359,0.7,4,2,NA,"Middle Class",NA,NA,NA
"22","Liberal",49,"Technical experts","Higher-grade service","Rent","Middle Class","2025",6,0,1,3,1,0.760478734970093,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"23","Bloc",42,"Skilled clerks","Skilled workers","Rent","Middle Class","2025",5,1,1,1,0,0.68153178691864,0.2,1,5,"Bloc","Middle Class","Middle Class","Concordant",NA
"24",NA,73,NA,NA,"Own","Middle Class","2025",6,0,0,2,1,0.864332020282745,0.5,4,3,NA,"Middle Class",NA,NA,NA
"25","Conservative",25,NA,NA,"Own","Upper Class","2025",8,0,1,3,1,0.577106952667236,0.9,1,5,"Conservative","Upper Class",NA,NA,NA
"26","Liberal",21,NA,NA,"Own","Middle Class","2025",5,1,0,3,1,0.779909372329712,0.4,9,4,"Liberal","Middle Class",NA,NA,NA
"27","Liberal",41,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,1,3,1,0.760478734970093,0.5,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"28","Liberal",31,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Middle Class","2025",6,0,1,NA,0,0.794874489307404,0.5,1,5,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"29","Liberal",43,NA,NA,"Own","Upper-Middle Class","2025",5,1,1,3,0,0.68153178691864,0.6,1,5,"Liberal","Upper Class",NA,NA,NA
